"","X","commonname","time","latitude","longitude","region_name","island","site","reef_zone","depth_bin","sitevisitid","date_","obs_year","diver","rep","method","photographer","training_yn","depth","survey_radius_m","hard_coral","soft_coral","ma","cca","ta","sand","tunicate","zoanthid","corallimorph","clam","cyano","sponge","other","other_type","habitat_code","habitat_type","current_strength","visibility","substrate_height_0","substrate_height_20","substrate_height_50","substrate_height_100","substrate_height_150","max_height","urchin_dacor","boring_urchin_dacor","roundid","missionid","min_depth","max_depth","objectid","replicateid","species","taxonname","commonfamilyall","family","scientific_name","trophic","count"
"121765",121765,"Yellow tang","2013-08-04T00:00:00Z",19.12053332,-155.9201934,"Main Hawaiian Islands","Hawaii","HAW-765","Forereef","Deep",5949,"2013-08-04T00:00:00Z",2013,"MKM","A","nSPC",0,-15,27,7.5,35,0,5,5,45,5,0,0,0,0,5,0,NA,NA,"AGR","Aggregate Reef","Moderate",25,25,40,10,15,10,2,"O","R",83,"HA1304",23.8,28,1945562,1845958552,"ZEFL","Zebrasoma flavescens","Surgeonfish","Acanthuridae","Zebrasoma flavescens","H",2
"121766",121766,"Yellow tang","2013-08-04T00:00:00Z",19.12053332,-155.9201934,"Main Hawaiian Islands","Hawaii","HAW-765","Forereef","Deep",5949,"2013-08-04T00:00:00Z",2013,"MKM","A","nSPC",0,-15,27,7.5,35,0,5,5,45,5,0,0,0,0,5,0,NA,NA,"AGR","Aggregate Reef","Moderate",25,25,40,10,15,10,2,"O","R",83,"HA1304",23.8,28,1945563,1845958552,"ZEFL","Zebrasoma flavescens","Surgeonfish","Acanthuridae","Zebrasoma flavescens","H",1
"121767",121767,"Yellow tang","2013-08-04T00:00:00Z",19.12053332,-155.9201934,"Main Hawaiian Islands","Hawaii","HAW-765","Forereef","Deep",5949,"2013-08-04T00:00:00Z",2013,"MKM","A","nSPC",0,-15,27,7.5,35,0,5,5,45,5,0,0,0,0,5,0,NA,NA,"AGR","Aggregate Reef","Moderate",25,25,40,10,15,10,2,"O","R",83,"HA1304",23.8,28,1945564,1845958552,"ZEFL","Zebrasoma flavescens","Surgeonfish","Acanthuridae","Zebrasoma flavescens","H",1
"121768",121768,"Yellow tang","2013-08-04T00:00:00Z",19.13674979,-155.9190188,"Main Hawaiian Islands","Hawaii","HAW-506","Forereef","Mid",5950,"2013-08-04T00:00:00Z",2013,"JMA","A","nSPC",0,-15,18,7.5,65,0,0,10,25,0,0,0,0,0,0,0,NA,NA,"AGR","Aggregate Reef","Slight",20,25,55,20,0,0,1,"A","R",83,"HA1304",18,18,1945616,1845958554,"ZEFL","Zebrasoma flavescens","Surgeonfish","Acanthuridae","Zebrasoma flavescens","H",5
"121769",121769,"Yellow tang","2013-08-04T00:00:00Z",19.13674979,-155.9190188,"Main Hawaiian Islands","Hawaii","HAW-506","Forereef","Mid",5950,"2013-08-04T00:00:00Z",2013,"JMA","A","nSPC",0,-15,18,7.5,65,0,0,10,25,0,0,0,0,0,0,0,NA,NA,"AGR","Aggregate Reef","Slight",20,25,55,20,0,0,1,"A","R",83,"HA1304",18,18,1945617,1845958554,"ZEFL","Zebrasoma flavescens","Surgeonfish","Acanthuridae","Zebrasoma flavescens","H",10
"121770",121770,"Yellow tang","2013-08-04T00:00:00Z",19.13674979,-155.9190188,"Main Hawaiian Islands","Hawaii","HAW-506","Forereef","Mid",5950,"2013-08-04T00:00:00Z",2013,"JMA","A","nSPC",0,-15,18,7.5,65,0,0,10,25,0,0,0,0,0,0,0,NA,NA,"AGR","Aggregate Reef","Slight",20,25,55,20,0,0,1,"A","R",83,"HA1304",18,18,1945618,1845958554,"ZEFL","Zebrasoma flavescens","Surgeonfish","Acanthuridae","Zebrasoma flavescens","H",12
"121771",121771,"Yellow tang","2013-08-04T00:00:00Z",19.13674979,-155.9190188,"Main Hawaiian Islands","Hawaii","HAW-506","Forereef","Mid",5950,"2013-08-04T00:00:00Z",2013,"JPZ","A","nSPC",0,-15,18,7.5,80,0,0,15,4,1,0,0,0,0,0,0,NA,NA,"AGR","Aggregate Reef","Slight",20,5,45,50,0,0,1,"A","R",83,"HA1304",17.6,18.2,1945714,1845958557,"ZEFL","Zebrasoma flavescens","Surgeonfish","Acanthuridae","Zebrasoma flavescens","H",5
"121772",121772,"Yellow tang","2013-08-04T00:00:00Z",19.13674979,-155.9190188,"Main Hawaiian Islands","Hawaii","HAW-506","Forereef","Mid",5950,"2013-08-04T00:00:00Z",2013,"JPZ","A","nSPC",0,-15,18,7.5,80,0,0,15,4,1,0,0,0,0,0,0,NA,NA,"AGR","Aggregate Reef","Slight",20,5,45,50,0,0,1,"A","R",83,"HA1304",17.6,18.2,1945715,1845958557,"ZEFL","Zebrasoma flavescens","Surgeonfish","Acanthuridae","Zebrasoma flavescens","H",6
"121773",121773,"Yellow tang","2013-08-04T00:00:00Z",19.13674979,-155.9190188,"Main Hawaiian Islands","Hawaii","HAW-506","Forereef","Mid",5950,"2013-08-04T00:00:00Z",2013,"JPZ","A","nSPC",0,-15,18,7.5,80,0,0,15,4,1,0,0,0,0,0,0,NA,NA,"AGR","Aggregate Reef","Slight",20,5,45,50,0,0,1,"A","R",83,"HA1304",17.6,18.2,1945716,1845958557,"ZEFL","Zebrasoma flavescens","Surgeonfish","Acanthuridae","Zebrasoma flavescens","H",3
"121774",121774,"Yellow tang","2013-08-04T00:00:00Z",19.15302216,-155.9155067,"Main Hawaiian Islands","Hawaii","HAW-487","Forereef","Shallow",5951,"2013-08-04T00:00:00Z",2013,"AEG","A","nSPC",0,-15,4,7.5,25,0,20,25,25,5,0,0,0,0,0,0,NA,NA,"MIX","Mixed Habitats","None",20,30,30,10,10,20,3.5,"C","C",83,"HA1304",4.2,5.5,1945668,1845958555,"ZEFL","Zebrasoma flavescens","Surgeonfish","Acanthuridae","Zebrasoma flavescens","H",11
